Dia,Altas_nuevos_usuarios_activos_ab._anual_sin_ttp_dia,Altas_nuevos_usuarios_activos_ab._anual_con_ttp_dia,Altas_nuevos_usuarios_activos_ab._anual_total_dia,Usuarios_activos_ab._anual_sin_ttp_ acumulado_desde_inicio,Usuarios_activos_ab._anual_con_ttp_acumulado_desde_inicio,Usuarios_activos_ab._anual_total_acumulado_desde_inicio,Nuevos_usuarios_abono_1_dia,Nuevos_usuarios_abono_3_ dias,Nuevos_usuarios_abono_5_dias,Nuevos_usuarios_abono_ocas._total,Usuarios_abono_1_dia_acumulado_de_inicio,Usuarios_abono_3_dias_acumulado_de_inicio,Usuarios_abono_5_dias_acumulado_de_ inicio,Usuarios_abono_ocasional_total_de_inicio,Usos_bicis_abono_anual,Usos_bicis_abono_ocasional,Usos_bicis_total,Usos_abono_anual_acumulado,Usos_abono_ocasional_acumulado,Usos_total_acumulado_ desde_inicio,Horas_Totales_Usos_Bicicletas,Horas_Totales_Disponibilidad_Bicicletas_En_Anclajes,Total_Horas_Servicio_Bicicletas,Media_Bicicletas_Disponibles,tmed,prec,Dia_semana
10-8-15,26,55,81,24568,24166,48734,58,4,2,64,19090,1194,542,20826,7986,189,8175,2290543,46187,2336730,3991.13,19894.18,23885.31,995.22,27.7,0,lun
11-8-15,20,34,54,24588,24200,48788,72,5,2,79,19162,1199,544,20905,8750,191,8941,2299293,46378,2345671,4364.4,19817.3,24181.7,1007.57,27.6,0,mar
12-8-15,25,79,104,24613,24279,48892,108,10,4,122,19270,1209,548,21027,9132,251,9383,2308425,46629,2355054,4633.72,19725.32,24359.04,1014.96,26.2,0,mié
13-8-15,29,45,74,24642,24324,48966,104,9,2,115,19374,1218,550,21142,8974,236,9210,2317399,46865,2364264,4498.85,19530.97,24029.82,1001.24,22.1,0,jue
14-8-15,38,49,87,24680,24373,49053,103,3,1,107,19477,1221,551,21249,8165,231,8396,2325564,47096,2372660,4309.22,22770.43,27079.65,1128.32,21,0,vie
15-8-15,47,67,114,24727,24440,49167,148,7,2,157,19625,1228,553,21406,7000,297,7297,2332564,47393,2379957,4156.77,21431.75,25588.52,1066.19,22.9,0,sáb
16-8-15,52,53,105,24779,24493,49272,138,9,2,149,19763,1237,555,21555,6770,336,7106,2339334,47729,2387063,3921.48,19269.1,23190.58,966.27,23.5,0,dom
17-8-15,44,45,89,24823,24538,49361,64,5,5,74,19827,1242,560,21629,8362,200,8562,2347696,47929,2395625,4139.1,18910.27,23049.37,960.39,25.6,0,lun
18-8-15,21,55,76,24844,24593,49437,95,11,5,111,19922,1253,565,21740,8796,269,9065,2356492,48198,2404690,4130.08,19764.92,23895,995.63,25.8,0,mar
19-8-15,46,44,90,24890,24637,49527,74,8,7,89,19996,1261,572,21829,8910,227,9137,2365402,48425,2413827,4298.8,20216.48,24515.28,1021.47,25.3,0,mié
